L0,L1,L2..L6,R0,R2..,R6
1718,1278,1426,1072,668,757,1264,1281,934,1164,1025,565,533,808
1987,1370,1787,1648,845,793,1254,1345,1179,1505,1226,704,958,806
1769,1463,1620,1957,1288,1262,1101,1244,1075,1555,1748,1260,1485,722
1954,1296,1443,2397,2659,1744,951,1544,934,1359,1807,2524,2022,635
1733,2316,1802,2525,2533,1606,818,1413,1412,1867,1622,2388,1793,549
2577,2164,2332,2987,2684,1885,711,2194,1203,2125,1933,2675,1821,490
2376,2415,2117,3409,2953,1869,623,2032,1541,1895,2499,2651,1762,483
2736,2137,2344,3229,2598,1692,583,2217,1406,2139,2280,2440,1721,523
2428,2210,2997,2784,2573,1458,549,1946,1595,2525,1971,2326,1493,506
2536,1930,2697,2655,2227,1523,612,1954,1431,2738,2350,1996,1400,522
2547,2198,2500,2923,2137,1782,604,1964,1387,2412,2709,2129,1573,548
2378,2289,2136,3520,2326,1692,656,1781,1218,2753,2409,1886,1493,626
2442,2001,2539,3980,2232,1460,632,1710,1038,2487,2444,1900,1294,569
2130,2039,2579,3676,1925,1266,616,1478,962,2119,2737,1704,1226,510
1986,1867,2244,4011,1625,1320,576,1383,837,1783,2401,1444,1465,574
1707,1797,3193,4078,1598,1462,648,1197,961,2476,2024,1254,1629,618
1905,1851,2903,4091,1394,1670,640,1492,945,2297,2239,1132,1897,559
1939,1726,2481,3847,1195,1684,571,1554,1159,2643,1982,1013,1769,544
2123,1484,2085,4045,1279,1530,619,1796,1039,3185,2185,1046,1465,519
2409,1558,1734,3938,1174,1434,567,2147,1117,3397,1930,988,1313,505
2138,1379,1945,3980,1040,1564,632,1959,1303,2967,2107,933,1446,581
2251,1609,1829,4072,1225,1600,621,2019,1167,2487,1955,921,1281,577
1959,1528,2171,3675,1129,1438,605,1713,1248,2174,1891,1027,1473,487
1664,1456,2083,3631,1403,1508,592,1440,1107,1766,2815,1231,1321,528
1404,1341,2319,3830,1304,1583,624,1212,948,2043,2583,1119,1176,491
1188,1525,2051,3343,1418,1401,572,1028,1262,1823,2202,1007,1275,489
1008,1361,1863,3292,1457,1576,640,880,1310,2030,1856,1063,1246,489
867,1187,1736,2935,1288,1438,629,876,1467,2026,1549,949,1209,525
751,1451,2456,2582,1356,1239,605,773,1306,2298,1660,1057,1082,483
656,1319,2252,2439,1307,1230,584,747,1294,2301,1962,949,1126,542
612,1810,2657,2097,1157,1079,556,651,1172,2002,1760,824,1166,511
782,1665,2371,1767,996,1450,572,735,1189,1690,1500,783,1226,536
766,1479,2071,2548,1194,1334,557,666,1781,1963,1415,756,1259,482
826,1539,1752,2333,1088,1390,572,671,1510,1743,1418,906,1192,456
767,1355,1641,2249,944,1320,604,632,1536,1487,1837,790,1163,473
1213,1399,1414,1928,816,1143,597,782,1469,1359,1668,688,1054,505
1140,1520,1641,1639,743,1265,573,718,1618,1623,1658,604,940,460
1256,2030,2137,2293,2769,2635,1688,830,1526,1698,1840,2532,3464,2181
1134,1849,2505,2409,2735,2677,2547,752,1399,2199,2412,2504,3724,2609
1216,1568,2231,2445,2361,2325,2351,744,1192,1983,2187,2236,3251,2342
1098,1359,1839,3045,3746,2616,2007,704,1158,1696,2183,3723,3290,2502
1130,1799,1702,2736,3477,2421,1695,701,1201,1936,2583,3670,2838,2194
1003,1647,1467,2322,2962,2594,1430,615,1433,1721,2303,3162,2494,1854
1112,1593,1271,2235,2478,2303,1211,628,1645,1721,2091,2646,2246,1669
1058,1674,1513,2355,2066,2214,1031,616,1644,2482,2074,2336,2044,1433
948,1743,2291,2266,1730,2126,943,565,1672,2269,1800,1977,1739,1213
827,1536,2112,3470,1466,1837,828,505,1704,2062,2032,1656,1587,1031
722,1600,1872,3708,1650,1620,838,591,1989,1755,1942,1396,1368,884
698,1760,1595,4017,1661,1776,742,551,1890,2603,2375,1184,1282,753
622,1569,1613,4079,1605,1580,835,565,1814,2612,2525,1163,1326,901
710,1642,1699,4030,1507,1619,764,539,1624,2572,2699,1014,1170,774
672,1648,1488,4082,1339,1425,728,527,1634,2750,2374,1044,1145,671
739,1901,2046,3894,1328,1443,705,519,1690,2998,1991,1124,1003,580
668,1696,2284,4054,1244,1270,661,477,1633,2799,2166,1112,856,516
684,1857,2476,4086,1368,1382,686,444,1633,2423,2970,996,1068,602
619,1644,2183,3968,1227,1234,723,452,1950,2222,2798,1023,958,626
789,1647,2519,3406,1110,1060,647,576,1745,2139,2391,1029,857,563
732,1521,2238,3957,1131,1060,613,545,2016,1847,2002,985,828,555
704,1501,2246,4067,1099,991,548,481,1791,2092,1906,873,847,536
703,1618,2446,4089,1095,957,605,466,2043,2732,2234,1020,835,531
680,1508,3242,4093,1099,849,561,495,1839,3196,2353,929,746,524
605,1537,3142,3773,2442,1696,563,503,1879,3915,2231,2641,1639,550
576,1353,2703,3434,2405,1708,513,733,2354,4059,2281,2569,1587,553
1605,1204,2274,3481,2710,1680,608,1476,2121,3795,2169,2902,1520,540
1665,1184,2232,3803,2412,1463,578,1648,2017,3232,2688,2568,1316,486
2920,1178,1932,4036,2641,1362,512,2687,2045,2698,2407,2472,1282,451
2730,1328,2791,4026,2365,1402,519,2491,2312,2982,2034,2288,1201,500
2961,1192,2559,3608,2568,1238,512,2567,2463,3636,2102,2551,1046,468
2597,1296,2372,3669,2292,1056,472,2223,2445,4003,2117,2249,1002,473
2873,1158,2656,3163,1944,911,502,2223,2645,4076,2692,1908,878,492
2532,1098,2511,2813,1680,808,477,1923,2319,4072,2512,1626,790,504
2522,966,2859,2999,1423,884,485,1742,2503,4090,2140,1374,745,464
2507,1162,2535,3016,1273,821,506,1654,2488,4094,2367,1251,655,450
2261,1208,2569,3546,1388,778,469,1507,2152,4094,2353,1179,694,405
2323,1061,2235,3439,1239,737,489,1647,2310,4094,2028,1036,621,426
2028,1184,2878,3719,1459,733,452,1463,2054,4017,1718,882,709,440
1811,1061,2599,3843,1350,1293,2292,1478,2254,3842,2266,900,892,1520
1543,1148,2208,3486,1169,1257,2296,1288,1992,3390,2242,1029,1103,1504
1598,1090,2221,3553,1004,1100,1988,1185,2080,2854,2511,934,1011,1312
1450,1136,2569,3968,958,947,1687,1073,1820,2564,3161,835,873,1120
1372,1140,2286,4069,1017,872,1429,1025,2039,2223,2941,823,847,949
1260,1168,2278,3555,997,816,1209,893,1812,2624,2500,811,736,816
1086,1172,2218,2985,883,814,1028,767,1930,2429,2099,748,696,704
1019,1178,2098,2582,835,730,884,666,2092,2331,1841,787,619,613
890,1060,1800,2961,829,686,766,579,1849,2803,2265,735,599,537
828,1097,1531,2998,766,645,670,508,2110,2594,2394,736,611,474
852,1070,1297,3192,873,591,590,490,1950,2262,2408,728,547,429
820,1138,1405,3354,805,650,523,494,2078,1900,2608,879,546,389
930,1205,2229,3238,809,620,469,446,1860,1603,2293,799,564,380
840,1343,3044,3216,841,706,463,475,1967,2815,2591,839,586,393
973,1407,2768,2768,794,650,452,440,1731,3519,2441,752,550,411
884,1331,2357,2833,859,686,444,572,2085,3979,2881,708,641,398
936,1314,1972,2645,775,627,455,556,2096,3971,2571,748,593,396
835,1189,1663,3048,733,604,480,508,1819,3422,2173,670,530,376
844,1281,1433,3885,866,612,444,632,1907,2862,1818,652,546,384
752,1258,1507,4053,838,599,447,586,1768,2629,2089,878,525,391
903,1357,2012,3633,798,595,438,654,1732,2235,1861,805,524,382
965,1209,2109,3962,845,635,451,601,1990,1996,1577,697,496,376
989,1290,1968,3771,884,590,452,725,1775,2657,1745,609,536,399
1035,1250,2206,3226,2528,1741,519,672,1655,3077,1633,2327,1595,475
925,1269,2330,2929,2468,1709,534,672,1420,2733,1376,2302,1560,455
1769,1836,2327,2997,2721,1758,563,1467,1488,2311,1301,2536,1561,455
1833,2269,2114,2946,2405,1542,515,1559,1583,1967,1981,2241,1365,415
3013,2213,2469,3722,2817,1521,532,2493,1390,2559,2366,2738,1399,451
2797,2475,2289,3348,2524,1329,491,2319,1356,2716,2116,2446,1313,425
2962,2189,2019,3125,2782,1326,489,2571,1191,2972,1799,2282,1133,385
2588,2247,2551,3901,2462,1161,453,2266,1163,3641,1904,1966,967,403
2897,1963,2389,4056,2083,997,453,2389,1020,3244,2485,1793,878,398
2559,2167,1976,4087,1756,865,461,2099,1123,2747,2415,1633,770,387
2587,1919,1656,4093,1479,761,459,2023,1050,2336,2705,1536,707,395
2467,1999,1632,4094,1346,701,451,1977,1284,1916,2776,1478,632,377
2352,1751,2130,3778,1298,705,427,1757,1366,2596,2657,1283,647,426
2544,1837,1938,3211,1173,649,427,1919,1418,2729,2283,1211,584,394
2235,2771,1754,3303,3472,1888,788,1697,2227,2594,1920,3337,1842,767
2508,2949,2235,3507,3380,1852,768,2275,2499,2816,1683,3232,1806,751
2486,2574,2364,3353,2912,1607,678,2487,2211,2909,1777,2781,1566,658
