L0,L1,R0,R1
1060, 3948, 1038, 3962
1055, 4065, 1145, 4068
2129, 4089, 2181, 4089
3504, 3631, 3563, 3573
3976, 3051, 3988, 3005
4071, 2551, 4073, 2510
4090, 2127, 4090, 2086
4094, 1785, 4094, 1742
4094, 1505, 4094, 1460
3854, 1690, 3809, 1769
4046, 1503, 4037, 1597
3824, 1545, 3768, 1490
4040, 1345, 4029, 1282
3770, 1405, 3675, 1379
4030, 1237, 3935, 1227
3668, 1115, 3435, 1380
3840, 971, 3360, 1298
3351, 1083, 2884, 1373
3097, 976, 2440, 1209
2646, 1056, 2041, 1360
2212, 941, 1969, 1216
1861, 1403, 1693, 1677
2129, 1455, 1985, 1925
1893, 1674, 1765, 2346
2960, 1868, 2640, 2267
2744, 2380, 2426, 2809
2338, 2150, 2066, 2517
1966, 3000, 1729, 3229
2765, 2740, 2385, 2901
2330, 2845, 2173, 2919
1954, 3270, 1847, 3302
1640, 2908, 1555, 2916
1590, 3156, 1472, 3170
1375, 2801, 1284, 2876
1456, 3105, 1346, 2658
1396, 3252, 1342, 3081
1321, 2843, 1418, 2959
1147, 3107, 1257, 3320
1055, 3247, 1068, 3454
1210, 2987, 1235, 3005
1095, 2995, 1111, 3251
1019, 2597, 1103, 2847
1143, 2874, 1091, 2790
1036, 3044, 957, 3294
1049, 2653, 1100, 2931
927, 2919, 983, 3199
1164, 3858, 1301, 3915
1072, 4047, 1201, 4059
1548, 4085, 1596, 4087
2320, 3981, 2406, 3659
2661, 3423, 2821, 3080
3808, 2864, 3840, 2567
4037, 2396, 4044, 2143
4083, 2001, 4084, 1791
4092, 1678, 4092, 1773
4094, 1705, 4094, 1840
4094, 1493, 4094, 1612
4094, 1507, 4094, 1710
4094, 1323, 4094, 1511
4094, 1410, 4094, 1388
4094, 1240, 4094, 1201
4094, 1159, 3982, 1119
4094, 1199, 3918, 1107
3949, 1058, 3370, 1069
3777, 1161, 2978, 1341
3235, 1035, 2506, 1209
2711, 1050, 2087, 1282
2260, 927, 1927, 1140
1896, 1451, 1654, 1664
1744, 1359, 1635, 1582
1512, 2081, 1449, 2118
2137, 1955, 1806, 2206
1960, 1682, 1622, 2014
2400, 2362, 2146, 3056
2162, 2379, 1945, 2813
1850, 2783, 1709, 2585
1566, 3057, 1446, 3298
1859, 2695, 1769, 2971
1663, 2915, 1593, 3347
1419, 2867, 1357, 3083
1210, 3108, 1139, 2884
1275, 3167, 1234, 3307
1133, 2755, 1098, 2933
1297, 3209, 1234, 2792
1163, 3339, 1104, 3423
1209, 2912, 1250, 3055
1070, 3047, 1122, 3441
1298, 2652, 1282, 3029
1174, 2777, 1154, 2956
1012, 2989, 983, 3358
