L0,L1,R0,R1
3838, 1135, 3753, 972
4043, 1011, 4026, 839
4008, 899, 3975, 955
3451, 935, 3411, 999
2971, 995, 2859, 1092
2499, 1208, 2384, 1188
2072, 1231, 1990, 1332
1744, 1367, 1662, 1392
1713, 1299, 1488, 1224
1498, 1389, 1496, 1428
1275, 1501, 1304, 1395
1430, 1388, 1358, 1359
1280, 1542, 1417, 1395
1289, 1572, 1309, 1411
1350, 1584, 1331, 1403
1450, 1556, 1500, 1390
1550, 1613, 1593, 1385
1600, 1519, 1641, 1407
1561, 1598, 1653, 1419
1389, 1452, 1455, 1438
1305, 1500, 1380, 1367
1357, 1525, 1341, 1415
1348, 1493, 1408, 1435
1352, 1557, 1359, 1457
1386, 1541, 1345, 1435
1385, 1600, 1371, 1528
1382, 1470, 1351, 1452
1384, 1524, 1340, 1462
1372, 1512, 1472, 1474
1617, 1547, 1553, 1478
1601, 1525, 1627, 1529
1575, 1416, 1565, 1348
1383, 2220, 1348, 1988
1174, 3720, 1146, 3673
1710, 4020, 1667, 4010
2034, 4080, 1985, 4078
3002, 3851, 3008, 3822
3876, 3288, 3877, 3253
4002, 2748, 3783, 2714
4076, 2296, 4032, 2265
4091, 1918, 4082, 1886
4094, 1622, 4092, 1580
4094, 1370, 4094, 1339
4094, 1388, 4094, 1199
4094, 1300, 4094, 1087
3843, 1282, 3780, 1179
4044, 1123, 4032, 1055
3824, 967, 4082, 927
4040, 842, 4092, 806
4082, 985, 4077, 850
3524, 1054, 3515, 912
2956, 1038, 2932, 1025
2472, 1138, 2451, 1185
2060, 1289, 2042, 1262
1975, 1321, 1696, 1263
1754, 1374, 1472, 1327
1494, 1484, 1464, 1299
1264, 1307, 1275, 1329
1444, 1212, 1411, 1308
1288, 1393, 1379, 1342
1253, 1426, 1277, 1378
1378, 1407, 1327, 1482
1323, 1399, 1335, 1373
1313, 1467, 1407, 1498
1526, 1423, 1557, 1418
1543, 1433, 1588, 1440
1553, 1400, 1581, 1403
1533, 1396, 1573, 1429
1389, 1541, 1413, 1513
1373, 1575, 1405, 1406
1317, 1472, 1346, 1406
1316, 1466, 1378, 1387
1356, 1564, 1377, 1551
1348, 1432, 1400, 1431
1330, 1374, 1324, 1429
1314, 1589, 1378, 1467
1340, 1499, 1358, 1434
1482, 1519, 1548, 1506
1509, 1337, 1560, 1331
1328, 2441, 1368, 2145
1144, 3764, 1163, 3705
1680, 4028, 1679, 4017
2456, 4081, 2462, 4079
3083, 3771, 3010, 3631
3892, 3209, 3878, 3047
4054, 2678, 4051, 2543
4086, 2228, 4086, 2114
4093, 1871, 4093, 1762
4094, 1570, 4094, 1478
4094, 1331, 4094, 1274
3827, 1239, 3794, 1171
4041, 1203, 4034, 1163
3846, 1256, 4082, 1192
4045, 1112, 4092, 1049
4085, 961, 4094, 929
4093, 827, 4094, 809
4015, 898, 3612, 817
3440, 930, 3034, 873
2877, 1035, 2530, 1005
2397, 934, 2165, 909
2013, 814, 1814, 785
1683, 715, 1526, 685
1416, 634, 1278, 584
1200, 1003, 1082, 1300
1017, 1447, 914, 1464
1138, 1411, 1076, 1469
1873, 1615, 1820, 1421
1774, 1472, 1704, 1508
1558, 1373, 1804, 1485
1330, 1370, 1588, 1405
1426, 1533, 1385, 1441
1446, 1549, 1549, 1493
1289, 1437, 1413, 1380
1414, 1543, 1386, 1492
1348, 1452, 1461, 1523
1294, 1568, 1307, 1400
1479, 1505, 1479, 1432
1561, 1477, 1613, 1436
1579, 1541, 1600, 1474
1640, 1597, 1663, 1551
1492, 1506, 1536, 1454
1344, 1507, 1433, 1441
1348, 1312, 1341, 1245
1214, 1128, 1262, 1099
1045, 970, 1088, 937
895, 833, 931, 807
776, 1981, 787, 2027
945, 3672, 947, 3681
2280, 4010, 2378, 4012
3329, 3838, 3357, 3812
3255, 3272, 3214, 3247
3927, 2750, 3918, 2722
4061, 2282, 4059, 2252
4088, 1906, 4087, 1886
4093, 1610, 4093, 1579
4094, 1434, 4039, 1404
4094, 1269, 4083, 1197
3848, 1136, 3791, 1161
4045, 1222, 4034, 1108
4085, 1088, 4082, 1042
4093, 1196, 4092, 1130
4094, 1066, 4094, 1009
4094, 930, 4094, 867
3740, 797, 3638, 744
3175, 693, 3066, 702
2659, 705, 2551, 619
2211, 699, 2126, 647
1853, 646, 1773, 687
1555, 579, 1481, 751
1320, 543, 1246, 688
1105, 667, 1055, 716
949, 673, 895, 802
819, 796, 768, 766
700, 736, 654, 733
616, 654, 580, 705
544, 596, 502, 625
472, 580, 449, 561
436, 600, 397, 589
408, 595, 360, 646
374, 597, 476, 610
369, 653, 376, 659
403, 697, 345, 632
425, 797, 361, 614
409, 732, 333, 574
