L0,L1,R0,R1
635, 664, 602, 833
551, 588, 529, 737
494, 565, 464, 787
473, 504, 416, 823
462, 526, 493, 971
475, 502, 457, 913
446, 494, 449, 794
424, 475, 470, 713
404, 458, 423, 614
404, 424, 434, 545
362, 453, 396, 639
378, 429, 431, 594
355, 435, 393, 672
421, 400, 386, 616
399, 389, 362, 624
423, 385, 382, 624
378, 396, 358, 560
416, 442, 382, 636
399, 454, 364, 579
